state_full,prov_cast,valid_cast,prov_rate
ALABAMA,0,2272911,0
ALASKA,14786,340981,4.3363118
AMERICAN SAMOA,0,10215,0
ARIZONA,15699,3477975,.45138335
ARKANSAS,1389,1122278,.12376612
CALIFORNIA,289935,16164330,1.7936716
COLORADO,205,3240754,.0063256882
CONNECTICUT,36,1820891,.0019770542
DELAWARE,14,514367,.0027217921
DISTRICT OF COLUMBIA,93,328871,.028278565
FLORIDA,6168,10999125,.05607719
GEORGIA,3718,5297500,.070184052
GUAM,65,30283,.21464188
HAWAII,0,522236,0
IDAHO,0,917469,0
ILLINOIS,8316,5717147,.14545716
INDIANA,1939,2986839,.064918131
IOWA,749,1674011,.044742838
KANSAS,27441,1342102,2.0446284
KENTUCKY,194,2086090,.0092996946
LOUISIANA,535,2021588,.026464343
MAINE,0,842447,0
MARYLAND,145763,3028813,4.8125453
MASSACHUSETTS,1797,3512930,.05115388
MICHIGAN,10,5706503,.00017523867
MINNESOTA,0,3271069,0
MISSISSIPPI,14685,1225176,1.1986033
MISSOURI,5534,3126837,.17698397
MONTANA,0,612423,0
NEBRASKA,10651,965145,1.1035647
NEVADA,28242,1486297,1.9001585
NEW HAMPSHIRE,0,829090,0
NEW JERSEY,116528,4321921,2.6962085
NEW MEXICO,1597,927923,.17210479
NEW YORK,194588,8389626,2.3193882
NORTH CAROLINA,24989,5756106,.43413028
NORTH DAKOTA,0,371974,0
NORTHERN MARIANA ISLANDS,0,12610,0
OHIO,104848,5851625,1.7917758
OKLAHOMA,1598,1573274,.10157163
OREGON,52,2269608,.0022911446
PENNSYLVANIA,69506,7074875,.98243433
PUERTO RICO,12576,1283628,.9797231
RHODE ISLAND,2514,522164,.48145792
SOUTH CAROLINA,4517,2566404,.17600502
SOUTH DAKOTA,201,435739,.04612853
TENNESSEE,3139,3090161,.10158047
TEXAS,20511,11488820,.17853008
U.S. VIRGIN ISLANDS,1,15952,.0062688063
UTAH,41114,1466896,2.802789
VERMONT,0,361604,0
VIRGINIA,111390,4511853,2.4688303
WASHINGTON,12,3949810,.00030381209
WEST VIRGINIA,2905,769206,.37766215
WISCONSIN,57,3434185,.0016597825
WYOMING,63,271123,.023236686
