release,id,rg,ctr_n,ctr,yr,mn,sub,cst_n,cst,mag,pty_n,pty,can,pev1,vot1,vv1,ivv1,to1,cv1,cvs1,pv1,pvs1,pev2,vot2,vv2,ivv2,to2,cv2,cvs2,pv2,pvs2,seat
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,unione di centro,92,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,13654,0.01754171773791313,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,moVimento 5 stelle,76,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,232627,0.29886314272880554,-990,-990,-990,-990,-990,-990,-990,-990,-990,3
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,forza nuova,61,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,2959,0.0038015192840248346,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,futuro e libertà,63,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,5701,0.007324251811951399,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,intesa popolare,68,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,4348,0.005586010869592428,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,casapound italia,55,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,2580,0.0033146061468869448,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,il popolo della libertà,65,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,185537,0.23836515843868256,-990,-990,-990,-990,-990,-990,-990,-990,-990,3
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,lega nord,15,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,1407,0.0018076166743412614,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,lista amnistia giustizia libertà,73,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,2779,0.0035702676977962255,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,partito comunista dei lavoratori,78,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,4023,0.005168473348021507,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,rivoluzione civile,87,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,25770,0.03310751914978027,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,la destra,70,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,8212,0.010550212115049362,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,fare per fermare il declino,59,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,4455,0.005723476875573397,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,centro democratico,56,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,4492,0.005771012045443058,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,scelta civica con monti per l'italia,88,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,49777,0.0639500617980957,-990,-990,-990,-990,-990,-990,-990,-990,-990,1
8,1438,Western Europe,Italy,380,2013,2,-990,ABRUZZO,1,14,sinistra ecologica libertà,89,-990,1067298,810590,767645,42945,0.7594786286354065,-990,-990,23817,0.030598441138863564,-990,-990,-990,-990,-990,-990,-990,-990,-990,1
